Gene Name	g8_g7.log2foldchange
TSPAN6	0.4
TNMD	0
DPM1	0.8
SCYL3	0.5
C1orf112	1.1
FGR	0.1
CFH	2.2
FUCA2	1.2
GCLC	1
NFYA	0.4
STPG1	0.3
NIPAL3	0.9
LAS1L	0.3
ENPP4	0.1
SEMA3F	2.4
CFTR	0.8
ANKIB1	0.5
CYP51A1	1.1
KRIT1	0.6
RAD52	0.8
MYH16	2.3
BAD	0.5
LAP3	2.5
CD99	0.4
HS3ST1	0.8
AOC1	2.2
WNT16	1.7
HECW1	4.2
MAD1L1	0.3
LASP1	0.1
SNX11	0.3
TMEM176A	1.4
M6PR	0.2
KLHL13	1.3
CYP26B1	2.2
ICA1	1.3
DBNDD1	2.8
ALS2	0.1
CASP10	0.5
CFLAR	0.6
TFPI	0.7
NDUFAF7	0.3
RBM5	0.8
MTMR7	0.1
SLC7A2	3.2
ARF5	0.4
SARM1	1
POLDIP2	1.2
PLXND1	0.2
AK2	0.9
CD38	2.5
FKBP4	0.6
KDM1A	0.7
RBM6	0.9
CAMKK1	1.4
RECQL	0.2
VPS50	0.1
HSPB6	0
ARHGAP33	0.2
NDUFAB1	1.8
PDK4	1.3
SLC22A16	2.3
ZMYND10	0.3
ABCB5	0.8
ARX	0
SLC25A13	0.7
ST7	2.4
CDC27	0.9
SLC4A1	2
CALCR	1.9
HCCS	1
DVL2	0.3
PRSS22	0
UPF1	0.1
SKAP2	1.1
SLC25A5	1.3
MCUB	0.6
HOXA11	0
POLR2J	0.6
DHX33	1.2
MEOX1	0
THSD7A	3.4
LIG3	0.1
RPAP3	0.3
ACSM3	1.2
REXO5	2.5
CIAPIN1	0.6
SPPL2B	1.8
FAM214B	0.9
COPZ2	0.9
PRKAR2B	1
MSL3	0.2
CREBBP	1.2
TSPOAP1	0.5
MPO	2.4
PON1	1.5
GCFC2	0.2
WDR54	1
CROT	0
ABCB4	3.1
KMT2E	1.3
RHBDD2	0.2
SOX8	0
IBTK	0.3
ZNF195	0.2
MYCBP2	0.7
FBXL3	0.5
ITGAL	1.4
PDK2	0.2
ITGA3	0.3
ZFX	0.3
LAMP2	0.9
ITGA2B	0.8
ASB4	2
GDE1	1.2
REX1BD	0.1
CRLF1	0.2
OSBPL7	0
TMEM98	2.2
YBX2	1.7
KRT33A	0
MAP3K14	1.7
ABCC8	2.6
CACNG3	2
TMEM132A	0.1
AP2B1	0.2
TAC1	0
ZNF263	0.4
CX3CL1	2.7
SPATA20	0.5
CACNA1G	3.7
TNFRSF12A	0.8
DLX6	1.9
MAP3K9	0.4
RALA	0.5
BAIAP2L1	0.5
KDM7A	2.5
ETV1	3.2
AGK	0.2
