GeneSymbol	log2FC
Acta1	0.00379193794189212
Tnnt3	0.338648245294685
Ckm	0.264097767435082
Tnnc2	0.307276298949634
Mylpf	0.202235321025378
Tnni2	0.267703002856441
Pvalb	0.408811798227556
Atp2a1	0.248697369618215
Myh4	0.432779129228903
Aldoa	0.373962058495316
Myl1	0.134280810015352
Tpm1	0.411156228588891
Eno3	0.178725140514629
Pygm	0.299402568470475
Actn3	0.310528406267219
Slc25a4	0.0133232084050419
Casq1	0.233089783458847
Tcap	0.0643270839530631
Tpm2	0.0977585357397413
Pgam2	0.239877414616621
Myoz1	0.306587384080547
Mybpc2	0.356481753887207
Gapdh	0.153428972507044
Mb	1.09460549995882
Ankrd23	0.412797532105094
Atp5b	0.123123189795754
Pfkm	0.283026119356295
Selenow	0.370866531183976
Ldha	0.234151809265701
Pkm	0.248844772498862
Tpi1	0.191824495095866
Ndrg2	0.0433864598708386
Atp5a1	0.0816008863853489
Cox6a2	0.117854103363342
Ckmt2	0.473107892929443
Des	0.223645380122234
Car3	0.537626172956445
Ndufa4	0.0505981072224868
Tpt1	0.107862060047125
Eef1a2	0.0252182329972331
Vdac1	0.0619802642068666
Cox8b	0.124949321801246
Ak1	0.093881853965193
Tmem38a	0.112160405859951
Aco2	0.0561268340156931
Cox4i1	0.0372353986723802
Ampd1	0.0985974412388782
Pgm2	0.361269327150398
Fth1	0.234592336955847
Cox7a1	0.264850345038369
Mdh2	0.0494988546627786
Cox6b1	0.105603593630557
Atp5g3	0.280990549505446
Myh1	0.923324256269522
Atp5e	0.0589600147513224
Rplp1	0.120834015249923
Adssl1	0.294994985519096
Cox5a	0.0937062685256137
Atp5o	0.0274769716409375
Hspb6	0.569859294741419
Atp5k	0.0773803408910567
Ndufb8	0.0414694502685097
Park7	0.262903570013781
Myot	0.0372732855446674
Uqcrh	0.0643381294339541
Ndufb9	0.0969665451086021
Cox6c	0.0569481879019263
Atp5j2	0.0858742186682507
Cst3	0.0558059565019642
Ybx3	0.273365222456721
Hsp90ab1	0.151154490661279
Mylk2	0.511315848707469
Uqcrb	0.0170550646207769
Uqcr10	0.05604520862943
Sh3bgr	0.255778710585109
Ndufs2	0.00131195805175589
Hrc	0.00144188329396453
Hjv	0.210641520940048
Uqcrc1	0.0626669246102401
Srl	0.0332245032513805
Slc25a3	0.148748610950999
Eef2	0.0813536009619307
Cryab	0.627237840836933
Rtn2	0.390582152551782
Uqcrq	0.147313211105258
Tle5	0.14929306843913
Actc1	0.98832047716189
Atp5h	0.135479449819794
Sdhb	0.224198739572055
Pde4dip	0.171182529862786
Cs	0.0870622811208618
Chchd10	0.159936412588911
Ldb3	0.161484133161149
Sar1b	0.330708120658319
Atp5j	0.00597607763469446
Atp5c1	0.023406894767128
Pink1	0.231828403645797
Ctsd	0.0905410003923472
Uqcr11	0.15248001968955
Sdha	0.0603171232570836
Rpl4	0.200790826059794
Mybpc1	0.818305518396446
Ndufa3	0.0276599494661322
Scn1b	0.225016463433393
Atp5mpl	0.0787969925111485
Tmod4	0.298858858918365
Tuba4a	0.0637117418638398
Myom2	0.0885690438400381
Psap	0.257779328163088
Cyc1	0.151060084139259
Mdh1	0.513898503206263
Rpl3l	0.110094968163183
Ndufb10	0.131225430092052
Gsn	0.120706948491842
Gpi1	0.138320873621269
Idh3b	0.00185894044141067
Cox5b	0.133280888683972
Rps15	0.122540254105597
Gpd1	0.392665443913565
Apobec2	0.139353109088044
Uqcrfs1	0.16905243096615
Ccng1	0.0095151663141087
Cox7b	0.0576525773450772
Pdha1	0.0839634529787878
Bin1	0.0521871767403256
Myh2	1.87331372565719
Rps29	0.0657015192760644
Idh3a	0.0614637721636088
Fxyd1	0.0625822934847061
Rps5	0.0694966156981572
Ndufs7	0.0352177467527216
Atp1a2	0.348963880389492
Nrap	0.27414414330328
Hspb8	0.0398699651320602
Fabp3	1.11515951527273
Uqcrc2	0.175103542422637
Atp5pb	0.112385724152668
Atp5d	0.12026071073038
Ndufc1	0.091964553056232
Ryr1	0.146760857858976
Fabp4	0.101375591662944
Nipsnap2	0.0497110433161707
Myom1	0.0493873438604046
Anapc5	0.349963227897456
Ndufb11	0.0711985868915254
Jsrp1	0.0682143463623799
Ndufa6	0.0163047577525253
Bsg	0.125776243583303
Phkg1	0.368788018899877
Drap1	0.415053074864
Mylk4	0.915016497225702
Rplp0	0.0923819709465476
Mrpl42	0.128405196742246
Trdn	0.226329562703556
Neb	0.000671324473074483
Smpx	0.179272528368543
Mlf1	0.235508428063779
Pdlim3	0.0472438932999542
Asb2	0.518213077083354
Rpl8	0.138682764041108
Jph2	0.235908688264017
Sucla2	0.0621321927646055
Ube2b	0.163972567526353
Lgals1	0.29961308017759
Sqstm1	0.26924187019092
Cnbp	0.191362602073661
Pdk2	0.171372633213808
Art1	0.0120812364084242
Idh3g	0.0904046287105118
Sdhc	0.0581347176464789
Actn2	0.947788831726614
Txnip	0.00366963151681087
Mgst3	0.334774899706243
Ugp2	0.139088710003194
Atp5g1	0.0804258597360997
Rplp2	0.0649664069042867
Gyg	0.238896952156678
Pkia	0.193626683631376
Rps12	0.0619832578713761
Rps14	0.0503660065218813
Ptp4a2	0.221487367223228
Sdhd	0.0799824626902326
Lamp1	0.0815073964085138
Ndufa5	0.0899779682423427
Ndufb7	0.132172798658274
Ndufa10	0.104701171411991
