SYMBOL	meta2d_pvalue
Lypla1	3.01328
Tcea1	0.309147
Atp6v1h	1.3547
Oprk1	0.299387
Rb1cc1	2.209
Alkal1	0
St18	0
Pcmtd1	2.99664e-06
Rnf7|||Gm35144	0
Rrs1	1.49837
Adhfe1	0
3110035E14Rik	0.233877
Sgk3	7.93714
Mcmdc2	1.68051e-06
Cspp1	7.89846
Prex2	9.26497
A830018L16Rik	7.60409e-07
Sulf1	0
Xkr9	0.17918
LOC105243866	0
Kcnb2	5.99055
Terf1	0.416332
Rdh10	0
Tmem70	0
Ly96	0.558835
Gdap1	2.27082
Pi15	4.32463e-15
Crispld1	0.0516454
Tfap2d	0
Tfap2b	0.052799
Mir206	0
Mir133b|||Lincmd1	0.22381
Il17a	1.0528e-06
Paqr8	0
Efhc1	3.91341e-09
Tmem14a	3.18901e-13
Gsta3	1.18253e-09
Cetn4	2.05169
Khdc1a	0
Khdc1c|||Khdc1a|||Khdc1b	1.188e-07
Khdc1b|||Khdc1c|||Khdc1a	0
Mir30a	0.157311
Mir30c-2	6.05448e-14
B3gat2	8.31521
Col9a1	4.02273
Lmbrd1	1.61983e-10
Cdk10	9.2656
Lgsn	1.85927e-10
Pih1d3	1.01252e-05
Khdrbs2	8.58382
1700001G17Rik	9.22587e-14
Rab23	0.00016695
Dst	0.299324
Imp4	7.02751
Ptpn18	1.31406
Prss39	0
Cfc1	1.26663
Amer3	4.07047e-08
Arhgef4	0.106407
Plekhb2	1.03655
Hs6st1	0
Arid5a	3.1989e-07
Fer1l5	7.54383
Cnnm4	0.000190184
Cnnm3	0
Cox5b	2.71067e-06
Zap70	0.408884
Vwa3b	4.0424e-12
Cnga3	0.0544223
Inpp4a	0.00826016
Unc50	0
Lipt1	0
Mrpl30	0
Eif5b	0
Nms	0.312066
Pdcl3	0
Npas2	12.5021
Cnot11	0.219345
Map4k4	0
Il1r2	0.0513078
Il1r1	0.0034251
Il1rl2	1.0453
Il1rl1	3.93812
Il18r1	0.0130608
Il18rap	0
Slc9a4	0
Slc9a2	1.93345e-09
Tmem182	1.9331e-07
Pou3f3	0.496847
Mrps9	2.45456
Gpr45	0.0512429
AI597479	1.48806e-07
Gm8210|||Gm41995|||Rpl29|||Gm8580|||Gm13213|||Gm38503|||LOC102634483|||LOC102640295	3.21147
Nck2	5.21772
1500015O10Rik	0
LOC102632770	0.165161
Tpp2	0.0991907
Bivm	0.291615
Ercc5	0
Gulp1	0.833214
Col3a1	4.63581
Wdr75	0.750568
Dnah7b	0.0946328
Dnah7c	0.374522
C230029F24Rik	0.253775
Tmeff2	0.0515787
Cavin2	10.5931
Stat4	0
Stat1	0
Nemp2	0
Hibch	4.9022e-12
Mstn	1.55532
Ormdl1	7.60605
Osgepl1	0.154673
Ccdc150	0
Coq10b	4.61929
Hspe1	13.497
Mob4	1.3203
Gm10561	18.1426
Mars2	0
Rps24	0
Plcl1	0
1700066M21Rik	9.30227
Maip1	6.39084e-13
Spats2l	0
Sgo2a	0
Aox1	0.780511
Aox3	1.5673e-10
Aox4	4.09289
Aox2	0.0031655
Bzw1	6.98727e-11
Nif3l1	8.90136e-12
Ndufb3	0
Cflar	10.1145
Casp8	0.000188613
Stradb	0.0521122
Cdk15	1.60826e-05
Fzd7	7.2333
Gm973	2.84447
Nop58	0.494041
Bmpr2	5.56217
Fam117b	1.07433
Carf	5.92535
Nbeal1	0
Cyp20a1	4.40573e-07
Abi2	4.6997
Cd28	0.24133
Ctla4	0.0456217
Icos	0
Rpl17|||Rpl17-ps8|||Rpl17-ps10|||Hk1	2.05642
Pard3b	0.0202161
Nrp2	9.94983
Eef1b2	0
Snora41	4.97059e-09
Zdbf2	4.8715
Adam23	0.749406
Fastkd2	9.5057e-08
Gm13749	0
Creb1	5.84478
Ccnyl1	0
Pikfyve	0
Pth2r	0
Crygf	0.0260552
Map2	10.7172
Unc80	8.06178
Rpe	4.79211
Cps1	2.18072e-08
Spag16	5.4742e-09
Vwc2l	0.0679899
Atic	1.53278
Apol7d	2.94627e-11
Tmem169	0
Xrcc5	0.0945558
Smarcal1	9.6499
Igfbp2	0.00302006
Rufy4	0
Cxcr2	1.14205e-10
Arpc2	2.34852
Gpbar1	3.20175e-08
Catip	0
Slc11a1	3.2499e-09
Ctdsp1	0.169847
Mir26b	0
Vil1	0.0992242
Cnot9	0.342396
Plcd4	1.04608
Bcs1l	4.73284
Stk36	0.000108439
Ttll4	0
Cyp27a1	3.0444
Wnt6	3.64715
Wnt10a	0.000582267
Cdk5r2	0.759852
Retreg2	4.48196
Zfand2b	3.02724e-14
Ankzf1	0
Stk16	1.65511
Dnajb2	0.651656
Des	0.220851
Speg	1.79385e-11
Gmppa	0.00017215
Asic4	3.65781e-09
Tmem198	3.57218e-05
Inha	0
Stk11ip	0
Slc4a3	2.69469
Gm33152	2.88308e-15
Sgpp2	0.000375076
Mogat1	3.41395e-09
Utp14b|||Acsl3	0.964559
Kcne4	0.00320218
Mrpl44	1.09862e-08
Nyap2	0
Irs1	1.74587e-13
