GeneSymbol,rhythmicity_mm_Heart,rhythmicity_mm_Lung,rhythmicity_hs_Lung,GtexMeanTPMv8_hs_Muscle.Skeletal,GSE38718_gender_hs_sm,GSE123878_exercise_Mm_sm
A1BG-AS1,,,0.80147,0.358651,,
A1CF,0.0,1.16861e-12,,0.0265532,0.0590434625255507,
A2M,1.44154e-14,2.51376,0.79858,6.28153,,
A2M-AS1,,,2.71818,1.11702,0.0074125980076083,
A2ML1,,,,0.246043,0.0731395863489985,
A4GALT,0.00205339,14.8022,0.486227,3.65035,,0.139568425646967
A4GNT,0.0,2.80145,,0.0281502,,
AAAS,1.63886,10.3404,2.97837,4.65033,0.139997681044977,0.192204470947748
AACS,3.4597e-14,0.577934,0.214792,2.11761,,0.13019938897461
AADAC,4.87158e-10,3.46157e-07,1.21361,0.0404075,0.0549634986027954,
AADACL2,1.82547e-05,0.0,,0.0230211,0.0084596979004336,
AADAT,1.03824e-07,0.0,2.54607,1.37336,,
AAGAB,0.0,4.38764,2.84951,4.34101,0.0512190543397457,0.111706766632687
AAK1,25.1389,13.4307,,2.33855,0.0573268991593103,0.0724253778229971
AAMDC,0.950438,2.12253,7.67891,4.59356,,0.0906242368350468
AAMP,0.39563,7.2733,0.889252,6.06639,,0.127765612552054
AANAT,0.80292,0.00300953,,0.0887006,,
AAR2,5.38792e-07,0.0,0.00512723,4.04454,0.133003224065534,0.0412359094605471
AARD,0.00342852,11.0078,,0.0974511,,
AARS1,,,2.32392,5.77848,,0.0765390815750312
AARS2,0.0531988,0.15449,2.17236,2.21315,0.0428759618942429,0.0477272930015595
AASDH,1.53143,2.53488e-05,2.70542,2.10156,0.0380067419481342,0.0951851581668434
AASDHPPT,0.712291,6.16648,0.404616,4.38609,0.0751471505905386,0.0586917188902468
AASS,0.0073465,1.86837,2.34987,3.54389,0.052470446718472,
AATBC,,,0.874165,0.334967,0.0595238905631534,
AATF,1.51591,0.0512003,,4.83751,,0.123816583054129
AATK,0.0,6.56629e-11,0.119328,0.717392,0.0895332021956445,0.254247396669028
ABAT,0.0,18.0775,1.62113,0.970696,,1.75533134220372
ABCA1,7.3086,25.1846,0.224612,3.43134,0.770475154345834,0.0295321727001831
ABCA12,15.5655,0.0,,0.0267416,,
ABCA13,2.48857e-06,0.00297558,,0.021101,0.0585881031282116,
ABCA17P,,,,0.307379,0.124752067316466,
ABCA2,9.28896,0.0565812,4.60945,3.30612,,0.170074879274821
ABCA3,0.0,25.5067,0.0923646,2.66849,,0.0762585899597364
ABCA4,0.783273,6.02888,,0.0651339,0.0112329380221148,0.103771072280469
ABCA5,0.0,9.69016,3.55558,5.1178,0.141204981072879,0.0227431839597159
ABCA6,7.34076,17.7784,10.9081,2.5907,,0.0001991339973386
ABCA7,0.984675,4.56262e-09,1.77823,3.12496,,0.0206459009669462
ABCA8,4.64736,6.64605,10.9421,3.32217,0.111705556269588,0.163040361521566
ABCA9,11.8374,1.94022,8.06663,3.63228,0.0426594173524415,0.0590194664739334
ABCB1,13.0577,0.0,5.08687,0.335428,0.0553844901534344,0.201620603534902
ABCB10,3.56264e-08,1.33261e-11,0.960561,3.45088,,0.135369093028389
ABCB11,2.13385e-08,3.72735e-05,,0.0609197,0.0088182836869745,
ABCB4,0.00928802,0.0,,1.27139,0.115223489927692,0.161160045692147
ABCB5,0.0,0.0,,0.0367103,0.0258745982822299,
ABCB6,5.10991e-06,13.1602,3.52091,5.39319,,0.120186302185551
ABCB7,0.00297153,0.0,0.474479,4.51489,,0.0232191499497978
ABCB8,0.572504,1.69531,0.411921,2.68064,0.150500610407495,0.100049838523091
ABCB9,0.0,1.7835e-05,0.700698,0.563534,0.0240829546745305,0.171037695736921
ABCC1,13.831,7.93663,1.36922,4.23596,,0.0246784203563618
ABCC10,2.53699e-06,0.0,0.403553,2.30346,0.108207494795806,0.29093958536858
ABCC11,,,,0.0415212,0.0939665604349789,
ABCC12,0.0,0.0521108,,0.365084,0.129623978591891,
ABCC13,,,,0.0052609,0.0069862478176872,
ABCC2,0.0515511,0.00701567,,0.980084,,
ABCC3,0.0,0.20224,0.10307,0.445751,0.0893286004589058,
ABCC4,0.0,16.4763,0.16305,2.24437,0.122307494060545,0.0090087105096462
ABCC5,3.44205,0.0,2.81506,5.79547,,0.039287637044866
ABCC6,0.0,1.26597,5.34168,1.0926,,
ABCC8,0.481134,0.00546066,0.223876,1.38597,,0.250514207444784
ABCC9,0.149032,11.6702,7.27242,4.23814,0.0401837139850434,0.113481623149473
ABCD1,1.71173,10.0559,1.89132,4.0077,0.13354434091494,0.372654705728867
ABCD2,3.77329,0.0,,0.140528,,0.0915754326279876
ABCD3,5.74823,8.65381,0.284622,3.29689,0.0401423285740781,0.177005643468361
ABCD4,7.51684e-13,6.08762e-08,1.50535,3.15681,,0.0457432135913672
ABCE1,0.0,3.40191,2.3943,4.62241,,0.173852582389379
ABCF1,0.154157,8.50266,7.12173,6.19562,,0.0473800718280356
ABCF2,0.0617378,6.14382,8.5759,5.65318,0.109358703030214,0.141302860384168
ABCF3,1.15984e-07,15.5013,1.02086,5.52368,0.124041145547979,0.0890216189270232
ABCG1,0.420741,2.7556,4.36253,3.70045,0.0975905618544344,0.475554352673296
ABCG2,7.56586,3.31296,5.80506,0.312649,,0.377033312584941
ABCG4,0.288189,1.50287,,0.0934282,,0.0938598626540052
ABCG5,6.34278e-14,0.680316,,0.0265583,,
ABCG8,0.0,1.28083e-07,,0.0103371,0.118704115662045,
ABHD1,,,,1.98307,,
ABHD10,1.0598,0.163837,0.80057,3.29501,0.222862501548932,0.26331547217734
ABHD11,3.02919,17.0448,0.519942,2.97641,0.0315999570715881,0.0016906533859491
